Runtime (minutes),readseq_kml,readseq_vanilla,readahead
5.466666666666667,,0.026,
5.483333333333333,,0.027,
5.5,,0.028,
5.516666666666667,,0.029,
5.533333333333333,,0.03,
5.55,,0.031,
5.566666666666666,,0.032,
5.583333333333333,,0.033,
5.6,,0.034,
5.616666666666666,,0.035,
5.633333333333334,,0.036,
5.65,,0.037,
5.666666666666667,,0.038,
5.683333333333334,,0.039,
5.7,,0.04,
5.716666666666667,,0.041,
5.733333333333333,,0.042,
5.75,,0.043,
5.766666666666667,,0.044,
5.783333333333333,,0.045,
5.8,,0.046,
5.816666666666666,,0.047,
5.833333333333333,,0.048,
5.85,,0.049,
5.866666666666666,,0.05,
5.883333333333334,,0.001,
5.9,,0.002,
5.916666666666667,,0.003,
5.933333333333334,,0.004,
5.95,,0.005,
5.966666666666667,,0.006,
5.983333333333333,,0.007,
6.0,,0.008,
6.016666666666667,,0.009,
6.033333333333333,,0.01,
6.05,,0.011,
6.066666666666666,,0.012,
6.083333333333333,,0.013,
6.1,,0.014,
6.116666666666666,,0.015,
6.133333333333334,,0.016,
6.15,,0.017,
6.166666666666667,,0.018,
6.183333333333334,,0.019,
6.2,,0.02,
6.216666666666667,,0.021,
6.233333333333333,,0.022,
6.25,,0.023,
6.266666666666667,,0.024,
6.283333333333333,,0.025,
6.3,,0.026,
6.316666666666666,,0.027,
6.333333333333333,,0.028,
6.35,,0.029,
6.366666666666666,,0.03,
6.383333333333334,,0.031,
6.4,,0.032,
6.416666666666667,,0.033,
6.433333333333334,,0.034,
6.45,,0.035,
6.466666666666667,,0.036,
6.483333333333333,,0.037,
6.5,,0.038,
6.516666666666667,,0.039,
6.533333333333333,,0.04,
6.55,,0.041,
6.566666666666666,,0.042,
6.583333333333333,,0.043,
6.6,,0.044,
6.616666666666666,,0.045,
6.633333333333334,,0.046,
6.65,,0.047,
6.666666666666667,,0.048,
6.683333333333334,,0.049,
6.7,,0.05,
6.716666666666667,,0.001,
6.733333333333333,,0.002,
6.75,,0.003,
6.766666666666667,,0.004,
6.783333333333333,,0.005,
6.8,,0.006,
6.816666666666666,,0.007,
6.833333333333333,,0.008,
6.85,,0.009,
6.866666666666666,,0.01,
6.883333333333334,,0.011,
6.9,,0.012,
6.916666666666667,,0.013,
6.933333333333334,,0.014,
6.95,,0.015,
6.966666666666667,,0.016,
6.983333333333333,,0.017,
7.0,,0.018,
7.016666666666667,,0.019,
7.033333333333333,,0.02,
7.05,,0.021,
7.066666666666666,,0.022,
7.083333333333333,,0.023,
7.1,,0.024,
7.116666666666666,,0.025,
7.133333333333334,,0.026,
7.15,,0.027,
7.166666666666667,,0.028,
7.183333333333334,,0.029,
7.2,,0.03,
7.216666666666667,,0.031,
7.233333333333333,,0.032,
7.25,,0.033,
7.266666666666667,,0.034,
7.283333333333333,,0.035,
7.3,,0.036,
7.316666666666666,,0.037,
7.333333333333333,,0.038,
